"superclass","subclass"
"http://dbpedia.org/ontology/Activity","http://dbpedia.org/ontology/Game"
"http://dbpedia.org/ontology/Activity","http://dbpedia.org/ontology/Sales"
"http://dbpedia.org/ontology/Activity","http://dbpedia.org/ontology/Sport"
"http://dbpedia.org/ontology/Actor","http://dbpedia.org/ontology/AdultActor"
"http://dbpedia.org/ontology/Actor","http://dbpedia.org/ontology/VoiceActor"
"http://dbpedia.org/ontology/AdministrativeRegion","http://dbpedia.org/ontology/ClericalAdministrativeRegion"
"http://dbpedia.org/ontology/AdministrativeRegion","http://dbpedia.org/ontology/GovernmentalAdministrativeRegion"
"http://dbpedia.org/ontology/AdministrativeRegion","http://dbpedia.org/ontology/HistoricalAreaOfAuthority"
"http://dbpedia.org/ontology/AdministrativeRegion","http://dbpedia.org/ontology/اقتدارکا_تاریخی_علاقہ"
"http://dbpedia.org/ontology/Agent","http://dbpedia.org/ontology/Deity"
"http://dbpedia.org/ontology/Agent","http://dbpedia.org/ontology/Employer"
"http://dbpedia.org/ontology/Agent","http://dbpedia.org/ontology/Family"
"http://dbpedia.org/ontology/Agent","http://dbpedia.org/ontology/FictionalCharacter"
"http://dbpedia.org/ontology/Agent","http://dbpedia.org/ontology/Organisation"
"http://dbpedia.org/ontology/Aircraft","http://dbpedia.org/ontology/MilitaryAircraft"
"http://dbpedia.org/ontology/AmusementParkAttraction","http://dbpedia.org/ontology/RollerCoaster"
"http://dbpedia.org/ontology/AmusementParkAttraction","http://dbpedia.org/ontology/WaterRide"
"http://dbpedia.org/ontology/AnatomicalStructure","http://dbpedia.org/ontology/Artery"
"http://dbpedia.org/ontology/AnatomicalStructure","http://dbpedia.org/ontology/BloodVessel"
"http://dbpedia.org/ontology/AnatomicalStructure","http://dbpedia.org/ontology/Bone"
"http://dbpedia.org/ontology/AnatomicalStructure","http://dbpedia.org/ontology/Brain"
"http://dbpedia.org/ontology/AnatomicalStructure","http://dbpedia.org/ontology/Embryology"
"http://dbpedia.org/ontology/AnatomicalStructure","http://dbpedia.org/ontology/Ligament"
"http://dbpedia.org/ontology/AnatomicalStructure","http://dbpedia.org/ontology/Lymph"
"http://dbpedia.org/ontology/AnatomicalStructure","http://dbpedia.org/ontology/Muscle"
"http://dbpedia.org/ontology/AnatomicalStructure","http://dbpedia.org/ontology/Nerve"
"http://dbpedia.org/ontology/AnatomicalStructure","http://dbpedia.org/ontology/Vein"
"http://dbpedia.org/ontology/Animal","http://dbpedia.org/ontology/Amphibian"
"http://dbpedia.org/ontology/Animal","http://dbpedia.org/ontology/Arachnid"
"http://dbpedia.org/ontology/Animal","http://dbpedia.org/ontology/Bird"
"http://dbpedia.org/ontology/Animal","http://dbpedia.org/ontology/Crustacean"
"http://dbpedia.org/ontology/Animal","http://dbpedia.org/ontology/Fish"
"http://dbpedia.org/ontology/Animal","http://dbpedia.org/ontology/Insect"
"http://dbpedia.org/ontology/Animal","http://dbpedia.org/ontology/Mammal"
"http://dbpedia.org/ontology/Animal","http://dbpedia.org/ontology/Mollusca"
"http://dbpedia.org/ontology/Animal","http://dbpedia.org/ontology/Person"
"http://dbpedia.org/ontology/Animal","http://dbpedia.org/ontology/Reptile"
"http://dbpedia.org/ontology/Annotation","http://dbpedia.org/ontology/Reference"
"http://dbpedia.org/ontology/ArchitecturalStructure","http://dbpedia.org/ontology/AmusementParkAttraction"
"http://dbpedia.org/ontology/ArchitecturalStructure","http://dbpedia.org/ontology/Arena"
"http://dbpedia.org/ontology/ArchitecturalStructure","http://dbpedia.org/ontology/Building"
"http://dbpedia.org/ontology/ArchitecturalStructure","http://dbpedia.org/ontology/Infrastructure"
"http://dbpedia.org/ontology/ArchitecturalStructure","http://dbpedia.org/ontology/Infrastucture"
"http://dbpedia.org/ontology/ArchitecturalStructure","http://dbpedia.org/ontology/MilitaryStructure"
"http://dbpedia.org/ontology/ArchitecturalStructure","http://dbpedia.org/ontology/Mill"
"http://dbpedia.org/ontology/ArchitecturalStructure","http://dbpedia.org/ontology/Monument"
"http://dbpedia.org/ontology/ArchitecturalStructure","http://dbpedia.org/ontology/Pyramid"
"http://dbpedia.org/ontology/ArchitecturalStructure","http://dbpedia.org/ontology/SportFacility"
"http://dbpedia.org/ontology/ArchitecturalStructure","http://dbpedia.org/ontology/Square"
"http://dbpedia.org/ontology/ArchitecturalStructure","http://dbpedia.org/ontology/Tower"
"http://dbpedia.org/ontology/ArchitecturalStructure","http://dbpedia.org/ontology/Tunnel"
"http://dbpedia.org/ontology/ArchitecturalStructure","http://dbpedia.org/ontology/Zoo"
"http://dbpedia.org/ontology/Artist","http://dbpedia.org/ontology/Actor"
