superclass,subclass,last_word_superclass,last_word_subclass
http://dbpedia.org/ontology/Activity,http://dbpedia.org/ontology/Game,Activity,Game
http://dbpedia.org/ontology/Activity,http://dbpedia.org/ontology/Sales,Activity,Sales
http://dbpedia.org/ontology/Activity,http://dbpedia.org/ontology/Sport,Activity,Sport
http://dbpedia.org/ontology/Actor,http://dbpedia.org/ontology/AdultActor,Actor,AdultActor
http://dbpedia.org/ontology/Actor,http://dbpedia.org/ontology/VoiceActor,Actor,VoiceActor
http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/ClericalAdministrativeRegion,AdministrativeRegion,ClericalAdministrativeRegion
http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/GovernmentalAdministrativeRegion,AdministrativeRegion,GovernmentalAdministrativeRegion
http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/HistoricalAreaOfAuthority,AdministrativeRegion,HistoricalAreaOfAuthority
http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/اقتدارکا_تاریخی_علاقہ,AdministrativeRegion,اقتدارکا_تاریخی_علاقہ
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Deity,Agent,Deity
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Employer,Agent,Employer
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Family,Agent,Family
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/FictionalCharacter,Agent,FictionalCharacter
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Organisation,Agent,Organisation
http://dbpedia.org/ontology/Aircraft,http://dbpedia.org/ontology/MilitaryAircraft,Aircraft,MilitaryAircraft
http://dbpedia.org/ontology/AmusementParkAttraction,http://dbpedia.org/ontology/RollerCoaster,AmusementParkAttraction,RollerCoaster
http://dbpedia.org/ontology/AmusementParkAttraction,http://dbpedia.org/ontology/WaterRide,AmusementParkAttraction,WaterRide
http://dbpedia.org/ontology/AnatomicalStructure,http://dbpedia.org/ontology/Artery,AnatomicalStructure,Artery
http://dbpedia.org/ontology/AnatomicalStructure,http://dbpedia.org/ontology/BloodVessel,AnatomicalStructure,BloodVessel
http://dbpedia.org/ontology/AnatomicalStructure,http://dbpedia.org/ontology/Bone,AnatomicalStructure,Bone
