property,superproperty,last_word_superclass,last_word_subclass
http://dbpedia.org/ontology/location,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation,location,DUL.owl#hasLocation
http://dbpedia.org/ontology/place,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation,place,DUL.owl#hasLocation
http://dbpedia.org/ontology/birthPlace,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation,birthPlace,DUL.owl#hasLocation
http://dbpedia.org/ontology/deathPlace,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation,deathPlace,DUL.owl#hasLocation
http://dbpedia.org/ontology/wikiPageWikiLink,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#associatedWith,wikiPageWikiLink,DUL.owl#associatedWith
http://dbpedia.org/ontology/building,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf,building,DUL.owl#isLocationOf
http://dbpedia.org/ontology/thumbnail,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isExpressedBy,thumbnail,DUL.owl#isExpressedBy
http://dbpedia.org/ontology/restingPlacePosition,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation,restingPlacePosition,DUL.owl#hasLocation
http://dbpedia.org/ontology/mouthPosition,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation,mouthPosition,DUL.owl#hasLocation
http://dbpedia.org/ontology/sourcePosition,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation,sourcePosition,DUL.owl#hasLocation
http://dbpedia.org/ontology/congressionalDistrict,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf,congressionalDistrict,DUL.owl#isPartOf
http://dbpedia.org/ontology/growingGrape,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf,growingGrape,DUL.owl#isLocationOf
http://dbpedia.org/ontology/jointCommunity,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf,jointCommunity,DUL.owl#isPartOf
http://dbpedia.org/ontology/parish,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf,parish,DUL.owl#isPartOf
http://dbpedia.org/ontology/spokesperson,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,spokesperson,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/unitaryAuthority,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,unitaryAuthority,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/vicePrimeMinister,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,vicePrimeMinister,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/wineProduced,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf,wineProduced,DUL.owl#isLocationOf
http://dbpedia.org/ontology/associate,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,associate,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/clubsRecordGoalscorer,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,clubsRecordGoalscorer,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/firstWin,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isParticipantIn,firstWin,DUL.owl#isParticipantIn
http://dbpedia.org/ontology/firstWinner,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant,firstWinner,DUL.owl#hasParticipant
http://dbpedia.org/ontology/largestSettlement,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart,largestSettlement,DUL.owl#hasPart
http://dbpedia.org/ontology/lastWin,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isParticipantIn,lastWin,DUL.owl#isParticipantIn
http://dbpedia.org/ontology/localAuthority,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,localAuthority,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/managingEditor,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,managingEditor,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/mostWins,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant,mostWins,DUL.owl#hasParticipant
http://dbpedia.org/ontology/recentWinner,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant,recentWinner,DUL.owl#hasParticipant
http://dbpedia.org/ontology/ruralMunicipality,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation,ruralMunicipality,DUL.owl#hasLocation
http://dbpedia.org/ontology/subsequentInfrastructure,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,subsequentInfrastructure,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/superintendent,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,superintendent,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/whaDraftTeam,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf,whaDraftTeam,DUL.owl#isMemberOf
http://dbpedia.org/ontology/maximumDepth,http://dbpedia.org/ontology/depth,maximumDepth,depth
http://dbpedia.org/ontology/academicAdvisor,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,academicAdvisor,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/aircraftElectronic,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,aircraftElectronic,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/aircraftInterceptor,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,aircraftInterceptor,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/alongside,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,alongside,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/anthem,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,anthem,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/appointer,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,appointer,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/automobilePlatform,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasComponent,automobilePlatform,DUL.owl#hasComponent
http://dbpedia.org/ontology/beatifiedBy,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,beatifiedBy,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/beatifiedPlace,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,beatifiedPlace,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/billed,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,billed,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/board,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf,board,DUL.owl#isMemberOf
http://dbpedia.org/ontology/breeder,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,breeder,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/careerStation,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasSetting,careerStation,DUL.owl#hasSetting
http://dbpedia.org/ontology/ceo,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,ceo,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/chef,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,chef,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/citizenship,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,citizenship,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/college,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,college,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/councilArea,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf,councilArea,DUL.owl#isPartOf
http://dbpedia.org/ontology/county,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation,county,DUL.owl#hasLocation
http://dbpedia.org/ontology/currency,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,currency,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/dam,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,dam,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/damsire,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,damsire,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/dean,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,dean,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/debutTeam,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf,debutTeam,DUL.owl#isMemberOf
http://dbpedia.org/ontology/doctoralAdvisor,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,doctoralAdvisor,DUL.owl#coparticipatesWith
