"property","superproperty"
"http://dbpedia.org/ontology/location","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/place","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/birthPlace","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/deathPlace","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/wikiPageWikiLink","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#associatedWith"
"http://dbpedia.org/ontology/building","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf"
"http://dbpedia.org/ontology/thumbnail","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isExpressedBy"
"http://dbpedia.org/ontology/restingPlacePosition","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/mouthPosition","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/sourcePosition","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/congressionalDistrict","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf"
"http://dbpedia.org/ontology/growingGrape","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf"
"http://dbpedia.org/ontology/jointCommunity","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf"
"http://dbpedia.org/ontology/parish","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf"
"http://dbpedia.org/ontology/spokesperson","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/unitaryAuthority","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/vicePrimeMinister","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/wineProduced","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf"
"http://dbpedia.org/ontology/associate","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/clubsRecordGoalscorer","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/firstWin","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isParticipantIn"
"http://dbpedia.org/ontology/firstWinner","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant"
"http://dbpedia.org/ontology/largestSettlement","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart"
"http://dbpedia.org/ontology/lastWin","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isParticipantIn"
"http://dbpedia.org/ontology/localAuthority","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/managingEditor","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/mostWins","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant"
"http://dbpedia.org/ontology/recentWinner","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant"
"http://dbpedia.org/ontology/ruralMunicipality","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/subsequentInfrastructure","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/superintendent","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/whaDraftTeam","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf"
"http://dbpedia.org/ontology/maximumDepth","http://dbpedia.org/ontology/depth"
"http://dbpedia.org/ontology/academicAdvisor","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/aircraftElectronic","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/aircraftInterceptor","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/alongside","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/anthem","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/appointer","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/automobilePlatform","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasComponent"
"http://dbpedia.org/ontology/beatifiedBy","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/beatifiedPlace","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/billed","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/board","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf"
"http://dbpedia.org/ontology/breeder","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/careerStation","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasSetting"
"http://dbpedia.org/ontology/ceo","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/chef","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/citizenship","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/college","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/councilArea","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf"
"http://dbpedia.org/ontology/county","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/currency","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/dam","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/damsire","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/dean","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/debutTeam","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf"
"http://dbpedia.org/ontology/doctoralAdvisor","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/doctoralStudent","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/draftTeam","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf"
"http://dbpedia.org/ontology/educationSystem","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf"
"http://dbpedia.org/ontology/engineType","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isClassifiedBy"
"http://dbpedia.org/ontology/equipment","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant"
"http://dbpedia.org/ontology/era","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isDescribedBy"
"http://dbpedia.org/ontology/father","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/foundationPlace","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/fuelSystem","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasComponent"
"http://dbpedia.org/ontology/grades","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/grandsire","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/highschool","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/honours","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/institution","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf"
"http://dbpedia.org/ontology/lake","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#nearTo"
"http://dbpedia.org/ontology/languageFamily","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#specializes"
"http://dbpedia.org/ontology/lastAppearance","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isParticipantIn"
"http://dbpedia.org/ontology/mainOrgan","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart"
"http://dbpedia.org/ontology/managerClub","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/mother","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/mouthMountain","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/mouthPlace","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/movement","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf"
"http://dbpedia.org/ontology/notableIdea","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/notableStudent","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/notableWork","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/nrhpType","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isClassifiedBy"
"http://dbpedia.org/ontology/part","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart"
"http://dbpedia.org/ontology/partner","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/personFunction","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasRole"
"http://dbpedia.org/ontology/photographer","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/pictureFormat","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasQuality"
"http://dbpedia.org/ontology/portrayer","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/profession","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasRole"
"http://dbpedia.org/ontology/race","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isParticipantIn"
"http://dbpedia.org/ontology/railwayLineUsingTunnel","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/railwayRollingStock","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/relation","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/rivalSchool","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/river","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#nearTo"
"http://dbpedia.org/ontology/riverMouth","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasCommonBoundary"
"http://dbpedia.org/ontology/routeEndLocation","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasCommonBoundary"
"http://dbpedia.org/ontology/routeStartLocation","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasCommonBoundary"
"http://dbpedia.org/ontology/school","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/secretaryGeneral","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/significantBuilding","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/sire","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/sisterNewspaper","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/species","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#specializes"
"http://dbpedia.org/ontology/sport","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isParticipantIn"
"http://dbpedia.org/ontology/sportGoverningBody","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/targetAirport","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/trainer","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/administrativeCenter","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/alliance","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf"
"http://dbpedia.org/ontology/alumni","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/archipelago","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf"
"http://dbpedia.org/ontology/areaOfSearch","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/arrondissement","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/associationOfLocalGovernment","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/beltwayCity","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/blockAlloy","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/canton","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/chairperson","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/chancellor","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/chiefEditor","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/choreographer","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/club","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf"
"http://dbpedia.org/ontology/constructionMaterial","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasConstituent"
"http://dbpedia.org/ontology/coolingSystem","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/countryOrigin","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/currentPartner","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/destination","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/europeanParliamentGroup","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf"
"http://dbpedia.org/ontology/federalState","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf"
"http://dbpedia.org/ontology/formerBroadcastNetwork","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf"
"http://dbpedia.org/ontology/formerCoach","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/formerPartner","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/governorGeneral","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/head","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/headAlloy","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasConstituent"
"http://dbpedia.org/ontology/homeport","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/inflow","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasCommonBoundary"
"http://dbpedia.org/ontology/intercommunality","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf"
"http://dbpedia.org/ontology/internationalAffiliation","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf"
"http://dbpedia.org/ontology/launchSite","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant"
"http://dbpedia.org/ontology/leaderName","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/leaderParty","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/lieutenant","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/lowestPlace","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf"
"http://dbpedia.org/ontology/management","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/mayor","http://dbpedia.org/ontology/Leader"
"http://dbpedia.org/ontology/militaryRank","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf"
"http://dbpedia.org/ontology/musicSubgenre","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isSpecializedBy"
